gene,培養時間,glk,agp,yihX,pgm,ptsG,malx,crr,galM,yihR,yeaD,pgi,ascF,chbF,ascB,bglA,bglB,yggF,glpX,fbp,pfkB,pfkA,fbaB,fbaA,tpiA,gapA,pgk,gpmA,ytjc,gpmM,eno,pykF,pykA,ppsA
112,20 h 25 min,28.93507767,27.92613029,28.91606522,28.94224739,28.90084076,29.92994308,25.92599106,29.94200516,29.93824196,29.93114853,26.91179466,29.94398689,30.92128563,28.9228363,29.94665718,29.93983269,29.93034172,28.90683174,27.92519951,28.93927383,28.88229942,25.89856339,26.93562126,28.91888237,25.92637444,26.92332649,24.93292618,29.94278717,27.92043686,26.93557739,26.93579674,28.92683029,27.94388771
113,20 h 35 min,24.92427063,23.93909454,24.91699982,25.9384346,23.91074562,28.92131615,21.92437363,25.9239769,29.93664551,25.9076004,22.91228294,28.9255867,30.91585541,27.92750168,27.93087196,30.92808914,28.91777611,26.90122032,24.92757988,24.95173264,23.88282394,21.90451813,22.92441559,25.9158802,22.93144035,21.91293335,21.93188286,25.92581749,25.92211914,22.92829323,22.9408474,24.92598152,23.9167366
114,20 h 45 min,27.9187336,26.92910576,27.90799713,28.94308281,26.90028572,31.93412971,24.92765808,28.9403553,31.89793777,28.9169178,25.91392326,31.93433952,32.91474152,29.91422462,30.93483162,32.92877197,31.917696,28.8896122,27.92702484,28.96622849,26.85787964,24.90718269,25.93431664,28.92726898,28.98453522,25.94229507,24.93568993,29.9380455,28.91679382,25.93150902,25.94359398,27.92712402,26.92273712
115,20 h 55 min,26.92228508,25.93844223,27.92425728,28.9382515,26.90645218,30.92968178,23.92473602,27.93111038,32.92144775,27.91408539,24.90653992,30.94168854,32.91342545,29.91337585,29.93294144,32.92316055,30.93080902,28.89659309,26.93269539,27.9507103,25.89955902,23.89851189,24.92465591,27.91744995,24.92572975,24.92897987,23.93416786,27.92169762,27.91364288,24.93026733,24.92682076,26.93351173,26.94230843
116,21 h 05 min,26.9306469,25.93192101,26.91896439,28.93601036,26.91269493,29.92389488,23.92130661,27.93818855,32.92094803,27.91279411,24.91885757,30.94053078,31.93603325,29.92788696,29.9309063,32.92689133,30.92141533,28.90177155,27.95409775,27.95243073,25.89571381,23.90418434,24.93292236,27.91139412,24.93883133,24.94222832,24.94255638,27.91667938,27.92093468,26.930933,24.94193459,26.92562294,26.91936111
117,21 h 15 min,26.93001175,26.94262123,26.906353,28.92468262,26.9040966,30.9191246,23.91785049,28.93770599,31.92178726,28.9108429,24.90878105,30.92589569,32.91342926,29.90844154,29.92870903,32.91060638,30.92237663,28.90012169,27.94984818,27.95118523,25.89357567,23.89068413,25.9323616,27.91513062,24.9354496,24.92101669,24.93428612,28.93183136,28.90976143,24.92877388,24.93331146,26.94184113,26.93784332
118,21 h 25 min,28.92284775,28.93038559,29.90072823,30.93968201,29.89674377,32.92297745,26.93069649,30.93952179,32.90776825,29.91053581,27.91188431,31.91469574,33.90432739,30.90146637,32.93464279,32.91278076,32.91750336,30.87358284,29.94256592,30.94911575,28.87880516,25.91414833,27.93487167,29.9156189,26.91338158,27.93044281,25.93638039,30.92094231,30.89438057,26.91996193,27.93126488,29.92863464,28.93124771
119,21 h 35 min,27.94526863,26.92842293,27.91283226,28.91835403,26.8960228,30.91945839,24.93307495,28.93315506,32.91857529,28.90688133,25.91598892,30.93655205,33.92276382,29.92438698,29.93699074,33.92560196,29.90588379,28.87471581,27.94360542,27.94892502,25.91080856,24.91760445,25.92657852,27.91987228,25.92027664,24.93315887,24.94203186,27.92319298,28.89517784,24.93298721,24.94065666,26.94131851,26.93212509
120,21 h 45 min,26.9297905,25.91753197,26.89273453,27.90042877,24.89713669,29.89217758,23.92210388,27.94025612,31.92358208,27.91350365,24.92734718,29.93249512,31.90623665,29.92169952,30.93762016,30.88543129,29.90598488,28.88236809,27.94537163,27.95742798,25.89697266,23.90242767,25.93409729,27.926157,24.93605614,24.92376137,24.94091415,27.93258095,28.90640259,24.93993759,24.93408775,25.9252758,26.93062782
121,21 h 55 min,27.95315361,25.92855072,25.91353035,27.91549301,25.8878727,29.90425682,24.94363022,27.93891716,31.92184639,27.91086578,24.90672493,30.91874504,31.914011,29.89821243,29.92663765,32.90563202,30.91417694,28.88888168,26.92969131,27.96840858,25.89154625,24.93551445,24.93188095,26.9153347,24.93517494,23.91802788,24.93767357,27.93470573,29.92390823,24.94584084,24.93808365,26.93159866,25.92977524
122,22 h 05 min,27.92358208,26.93262482,26.88477135,28.90747833,26.8932724,31.9300251,24.92547035,28.94132423,32.89673615,28.91462708,25.91396713,30.92777252,32.88274002,29.91775131,30.93032646,33.92432022,31.91512871,32.90159225,27.90763283,27.93213272,26.89252853,23.90535927,25.92583847,28.9344635,25.93203354,24.92518806,25.94657898,28.94074059,27.91143227,25.93915939,25.93856239,27.92294312,26.92093849
123,22 h 15 min,28.92536545,27.93922234,27.90945625,28.89125824,27.89879608,31.91065025,25.92658615,30.92692947,31.91318512,29.90761757,26.90215492,30.903862,33.9249649,30.90942574,31.92720795,32.90807724,32.9289093,29.90991783,28.92080688,30.96009445,27.93366432,25.90206528,27.95289993,28.91170311,26.9194622,26.91076469,26.92694283,29.91744995,29.90668488,26.92964172,26.92346382,29.9278698,28.93499184
124,2 h 05 min,21.9340229,21.93946266,21.92344856,22.93922424,21.9065094,21.92783546,21.93096733,22.94096565,21.9342556,21.9177742,21.91487312,22.93732452,22.93308449,21.91902542,22.93410683,21.93595123,22.93655014,21.90837097,21.95129204,23.95679665,21.88822174,21.90584755,20.92725563,21.91447449,20.93517494,21.92619324,21.93732452,21.9262867,21.91879845,21.93939209,21.93160057,21.93279648,21.93144035
125,2 h 15 min,27.93257141,25.92848206,25.90727234,26.93946075,24.90379715,29.92092514,23.94864273,25.93801498,30.91900253,24.9036274,23.92904091,29.93159676,30.92874718,28.91252899,27.9207325,30.92678642,29.92860222,26.90000534,24.92460632,27.95033836,24.85230827,25.91617203,21.92715073,24.91990662,22.92658806,22.90594101,23.93957901,27.91638947,26.91428185,21.93225861,23.93359566,24.92978477,23.94354057
126,2 h 25 min,26.9388752,25.93126106,25.91858101,25.93344307,24.90287209,27.91836548,22.91371155,25.93644524,27.91174507,24.90662003,22.93375969,28.93762779,28.93029594,27.9022522,27.92900848,28.93276787,28.9414444,25.90146065,24.93870163,26.94860268,23.89899635,24.92407608,21.93121719,24.92942238,22.93287849,22.91579437,22.93316078,26.92030144,25.89594078,21.92686653,23.93185616,23.93879509,22.92197037
127,2 h 35 min,27.92526817,25.92915916,26.91090202,26.92859459,25.89447403,28.92842674,23.91095924,26.92699814,29.92380714,25.91564751,24.91828537,29.93011856,29.92395973,28.92535782,28.93977737,29.91593742,29.92020226,27.89523697,25.93789482,27.95842934,25.88222694,24.88800049,22.92526436,25.92562103,22.92297935,23.92935944,24.92948532,27.91884613,26.93255615,23.93748093,24.92663193,24.92441559,23.92975807
128,2 h 45 min,26.94544792,24.92232132,24.91056061,24.9308567,24.89539528,26.93218994,22.92243767,25.93916512,27.92988968,25.93239975,23.91800117,28.94166183,28.93724442,27.9321785,27.92677116,27.93403435,27.92841911,25.92043304,24.9212532,26.96148872,24.87514496,23.91551399,22.92852402,24.9137001,22.92541885,23.94229698,23.94531631,26.94276619,26.91230202,22.92749214,24.93715668,24.93655014,23.94731903
129,2 h 55 min,26.93906021,25.94084167,24.90328598,25.92520523,24.89897919,27.90691566,22.91820908,25.9228611,28.91610718,24.90496635,23.92471695,29.94014359,29.93579102,27.91916275,27.92310143,28.91930389,28.91552925,26.9112854,24.9205761,26.96891212,24.88640404,23.92724419,22.9394722,25.9187336,22.92737389,22.91812706,23.95147514,26.93596077,26.94127846,22.92342567,23.94342422,24.92292023,23.93448067
130,15 h 40 min,25.92927361,24.93183899,24.91597366,26.9344635,24.90103912,28.94201469,22.93449402,25.9400959,29.9259491,26.91986275,24.92178154,29.93337059,30.93463135,28.9428978,27.928339,29.92632675,29.9262886,27.89206505,25.94938469,26.97219276,24.86766052,21.90868378,23.92732239,25.92363548,23.9233532,23.92347527,23.92787552,26.9354229,27.90169716,23.92048073,23.93791771,24.93449402,24.91784668
131,15 h 50 min,26.94222832,25.93146324,25.90266418,26.9354248,25.91060066,28.92280006,23.9305706,26.93446922,29.93665314,27.91643524,24.92091751,29.93984413,29.93483734,28.92977333,28.92575455,29.95740509,29.94452858,27.90982246,26.95656013,27.96101952,24.91997337,22.90228653,24.94281006,26.92460823,24.94179344,23.92003441,24.93996048,27.94190979,27.90385628,23.96597099,24.9450779,25.93411636,25.93006897
132,16 h,25.91335869,24.93565559,25.91162109,26.92967796,24.89729691,29.94163132,22.92336655,25.93590927,30.93335342,26.93916702,23.9216671,29.92972565,30.92682266,28.91004562,28.92247009,31.92085648,30.9380188,27.89927673,25.9132843,26.96636581,24.86460495,21.91180992,22.93192673,25.90783501,22.92526436,23.94423866,23.94399261,26.93211937,26.91598511,22.93117332,23.94557381,24.92875099,24.93504333
133,16 h 15min,25.92274857,24.94570923,24.92800903,26.94090843,24.89996147,29.94534683,22.9296627,25.92476654,30.9273777,27.92353058,23.90492058,29.93682861,30.92491531,28.91631889,27.94073868,31.92379951,29.92804718,27.89795303,25.93601418,25.9595623,23.90688133,21.90781021,22.93367386,25.9180851,23.92779922,22.93483543,22.93653488,26.92519569,26.90537453,22.93345642,22.93730164,24.93411064,24.93223
134,16 h 25 min,25.93396378,24.93404961,25.91921043,26.92905426,24.91739273,27.92739868,22.92578888,25.93795395,28.93289185,26.92214966,23.9119072,28.94156265,28.93418312,27.92311478,27.93512535,28.9379673,28.93679237,26.9152298,25.93238449,25.94355583,24.90764809,22.91918945,24.94776344,25.93103409,23.93244743,23.93186951,23.93013954,26.92339897,26.91882324,22.93402672,23.93651581,25.93348694,24.93379402
135,16 h 35 min,25.93432426,24.92782402,25.92271996,27.93857384,25.90698433,27.92798615,23.9407177,26.93249321,28.93966293,26.90970993,24.91784668,28.94506836,28.9330101,27.92425537,27.93509483,28.93395042,28.93822479,27.89975929,25.92895889,26.94838142,24.93306541,22.91131783,24.93708229,26.91298676,23.93366051,23.91802025,24.9355545,26.91877556,27.90254021,23.93041992,23.92985344,25.94245338,25.95592308
136,16 h 45 min,26.942873,25.95491409,25.92537498,26.92055893,25.9197197,28.93437576,23.93435669,26.93649864,29.94213676,27.91449547,24.90670395,29.94673729,29.93307304,28.9422493,28.93853951,29.94130898,28.93666649,27.90145683,26.93452644,26.95034599,25.88776016,22.90319633,24.93774223,26.91832733,23.9276886,23.91559219,24.93316841,26.92479515,27.90577126,23.93227577,23.93070602,25.93956184,25.93739319
137,16 h 55 min,25.93068504,24.92341614,25.92200279,26.93450737,24.88794899,28.93233299,22.93279648,25.9412899,29.94392395,26.91938019,24.91878128,29.95075035,29.93411064,27.91041756,27.93146324,28.92811203,28.92700768,27.88798332,25.92813301,26.96969604,24.89074898,22.91679001,23.94103241,26.93608093,23.9367981,23.93802834,23.93951797,26.93587112,27.90828896,23.94746208,23.93086624,25.93867493,24.9117527
138,15 h 30 min,28.94332314,26.93100357,26.90920258,28.91711044,26.89949989,31.92814636,24.92882538,29.94311142,31.91093636,28.91727257,25.91718674,31.92932892,31.92273331,30.93720245,30.92564964,31.92086792,31.91830635,29.88594818,27.92921829,28.95718575,26.87810516,24.91287231,25.9363308,28.92461205,25.93217278,25.92908859,25.93498611,29.94223022,29.90093422,24.93035507,25.9354763,26.93000603,27.94811058
139,15 h 45 min,25.92406464,24.93766785,25.91741371,26.92027092,24.92645645,29.93711662,22.94767952,26.93231773,31.92020035,27.93579292,24.92727661,30.93843842,31.92572594,28.92486382,28.94158173,31.92332077,30.93327332,27.90301132,25.92204475,26.94593239,24.90230942,22.90992165,23.93379974,26.90862083,23.93405533,23.93147659,23.93364716,26.92125893,27.91113091,24.93408966,23.93680573,24.93768501,24.93800926
140,15 h 55 min,26.92743301,24.93961143,25.91932106,26.93062019,25.90594482,29.93279266,22.93652344,26.92905235,31.92751122,27.91813087,24.92372322,30.9410553,31.92887688,28.91386032,28.93268967,32.9250412,30.93366623,27.89901543,26.95004463,26.96580315,24.92189217,22.91500092,24.95262337,26.92842102,23.92536545,23.91719437,23.92159653,27.93665314,27.92748833,24.93735123,23.93388939,24.94338036,25.93603706
141,16 h 05 min,26.93729782,25.93473434,25.91067696,27.92230225,25.90492058,29.92098427,23.91562271,27.94762993,32.92805481,27.91520309,24.9227829,30.93959999,32.93340683,29.92170334,29.93253708,32.93536377,30.92875099,28.89384842,27.94706535,27.96240044,25.89502716,23.91971207,24.93508148,27.91699409,24.93575668,23.92279243,24.94307137,27.92708397,27.92532539,25.93257904,24.9485054,25.93468285,26.9475193
142,17 h 15 min,26.9268055,25.94704056,25.92060471,27.93276787,25.90603638,30.93178558,23.92280388,26.93750763,33.93732071,28.93573952,24.91501999,31.94260597,32.93439865,29.92787552,29.93130302,32.93325424,30.93302345,27.91683769,26.94055939,27.96256065,25.92004776,23.91347694,24.9355793,27.91869736,23.93156433,23.92649078,23.93529129,27.92930222,27.9397316,25.92449951,23.93586731,25.92700195,25.91616058
143,17 h 30 min,26.93191719,25.93504524,25.90789413,27.9162159,25.89387894,29.9125309,23.92331696,27.9445343,31.93195152,27.91363144,24.91413689,30.94186974,32.92149353,29.92478943,29.92735291,33.93264389,30.93429375,27.9199276,26.94048882,27.95798492,25.9005394,23.91535378,24.93094826,27.92155266,24.93733025,24.93667603,24.94054985,27.93165398,27.92346764,25.92397881,24.93996239,25.93378067,25.93602753
144,4 h 15 min,27.94495201,25.94521904,26.90707397,26.92194939,25.90717125,30.94573021,23.92491913,26.92881966,31.91929054,26.90531921,24.92338371,30.93594551,30.93409538,29.92891121,29.93259048,30.93344879,30.93526268,27.90847397,26.93249512,27.9569931,26.87422752,23.91110229,24.948349,27.93394089,23.93133354,23.92138863,23.93521881,27.93448257,28.91713524,25.93856049,24.93593407,25.9362545,24.9389782
145,4 h 35 min,26.93458748,25.93789864,26.91500282,25.93565369,25.91332626,28.92075157,23.93213844,26.93543053,31.9093895,26.92290878,24.92344284,30.9405899,31.92089844,29.93529129,28.93269348,32.9263916,31.92190742,27.89988136,25.92320442,28.95967293,25.91784096,23.90580559,24.94448662,26.9217186,23.92962646,24.93154335,23.93401337,26.93008041,28.91687584,24.93062019,24.93789673,25.93467522,24.93816566
146,4 h 45 min,26.93209648,25.9459095,25.91245079,25.93552399,24.91370773,28.92420387,23.92884064,25.9379158,30.92796326,26.93610573,24.92671013,29.92765617,29.92417526,29.9395504,28.93344688,30.93389511,30.93804741,26.91969109,25.92782593,27.96647835,25.88511467,23.91023827,23.93475533,25.92320824,23.92584991,23.92954636,23.9278698,26.92662811,27.91212654,23.9240818,24.94860268,25.93975449,23.93885422
147,4 h 55 min,26.93020821,25.93601608,26.92452049,26.93848038,25.91347694,28.92963409,23.91989899,26.93437195,30.94454384,26.91085625,24.92190361,29.92749405,29.91691017,28.9290123,28.93837547,30.94265556,29.91482544,26.89274216,25.92843246,27.95718575,25.91786194,23.9056015,23.9208374,25.92401695,23.9199543,23.91151047,23.92206383,26.90924835,27.91425705,23.92261505,24.94545364,25.93658829,23.91851425
148,5 h 05 min,26.92328453,24.93614388,25.92433739,25.94390297,24.91363525,28.93320465,22.9187851,25.93700218,30.9352684,25.92361832,23.91480637,30.95466805,29.9270668,28.92708969,28.94445229,31.92173004,29.92245102,26.90765762,24.9152298,26.96028137,24.91822052,22.90017128,22.92850304,25.92564201,22.93038177,22.91107559,22.93456459,26.92622375,26.91933441,24.93857384,23.93324089,24.93463326,23.93998909
149,5 h 15 min,28.92329597,28.94608688,28.91829872,28.92898941,26.91653442,30.92583656,25.92555618,28.93764687,31.92744637,28.91769218,26.91674042,31.92011642,30.93692398,31.92889404,31.93706703,32.9328804,32.93088531,29.89993668,27.9242363,28.94129372,27.8955574,25.89209938,25.92769623,27.91614151,25.94042015,25.93283272,26.93866158,29.94672012,29.93273163,24.92129898,27.94441414,28.93276978,25.94424629
150,5 h 25 min,25.9426899,24.93647385,25.94078636,25.94327164,24.90663338,27.9453392,22.92925072,25.94503975,29.93170166,25.93846703,23.91052818,29.94402885,29.93390656,28.93782234,27.93339348,30.93499947,28.93045998,26.90149879,23.91093445,25.95832443,24.87999535,22.90875816,22.94093323,24.91870308,22.94423294,22.94233513,22.93995285,26.9348278,26.92482948,21.93596458,23.93944168,24.92809677,22.93787193
151,5 h 35 min,25.93706703,24.943367,25.92300606,25.94231415,24.90796089,28.93482971,22.93121719,25.94476509,29.92806053,25.93089294,23.90104866,29.93832016,29.92272186,28.93270874,27.9389801,30.93538666,29.92695427,26.90630913,24.94312286,26.95253372,24.92068291,22.92023659,22.9360981,25.9352684,22.93868256,22.93086624,22.94425201,26.91861153,26.92194748,22.94098854,23.9216156,24.94545174,23.92944336
152,5 h 55 min,26.93612862,25.94169617,26.93727112,26.94364929,25.90802002,27.92108536,23.92407417,26.94053078,28.93902969,26.93759918,24.9080677,29.94445419,28.93155289,27.91901398,27.9306488,28.93615532,28.93640709,26.92068481,25.95980263,27.95609474,25.89399719,23.90114975,24.94519424,26.92832375,23.92547417,23.91454315,23.93288612,26.93417931,26.94248009,24.93110275,24.93686485,25.94791985,24.93275642
153,6 h 05 min,25.93715858,24.93310928,25.93048668,25.94457626,24.91635132,28.93166161,23.93187714,25.9431839,30.920084,25.91665077,23.90945816,29.94229507,30.92780304,28.92593956,28.94201469,31.93951607,30.9361496,26.90614128,25.94979477,26.95507622,24.92195129,22.90433311,23.93150711,25.92144585,22.93191338,22.92277145,23.93600273,26.93815041,26.91063881,22.92358017,24.96131897,25.93733025,23.92851639
154,6 h 15 min,26.94622231,25.95060539,25.92103577,25.93564224,25.91983986,28.93968964,23.93685722,25.94365311,30.92903137,26.93431091,23.91883469,29.94553375,31.94035721,28.92543602,28.94157219,31.93914986,27.93698883,26.91242027,25.93541908,27.96619225,24.9288311,22.91133499,23.93547058,25.91570473,22.93805695,22.92709732,23.94282722,26.94169617,27.90690804,22.93300056,23.93812752,25.93742752,23.93638611
155,6 h 25 min,26.93459511,25.94360352,25.91610718,26.93710327,25.90394974,28.9278965,23.92611885,26.94594193,30.9378376,26.92731476,24.91927147,29.93191719,30.93698692,26.92041969,28.93324471,31.94791222,30.94126701,26.92162514,25.93678474,26.94826698,25.89757347,23.91706848,23.93798065,26.94071198,23.93123245,23.92470551,23.93484497,26.93443108,27.89853477,23.92705917,24.94311333,25.94166756,24.94396973
156,6 h 35 min,25.93443489,24.94694138,24.92284584,25.93337631,24.90452766,27.92614746,22.92899132,25.9448204,30.93736076,25.93178749,22.92346001,29.93803215,30.93825531,28.94680214,27.93699646,25.94435501,28.91313553,25.92984009,24.93982887,25.95433426,24.88812447,22.92516327,23.93563843,24.92463684,22.94030952,22.93299294,22.93746948,25.92374229,25.93647957,23.9320507,23.94151688,24.93410301,23.9360714
157,6 h 45 min,26.93848228,25.93886185,24.90925598,26.92780113,24.90982437,28.92385483,23.92352104,26.94249153,29.92744637,25.90643501,24.92133331,29.92277718,30.93148422,28.91964912,28.92559052,30.93510818,29.9312458,26.90936852,25.93429565,27.95811462,25.89184761,23.90098953,23.94024658,26.92733383,23.92831421,23.91839218,23.92719841,26.93027115,26.92328072,23.9227066,24.93795013,25.93279839,24.95146942
158,19 h 10 min,29.94041634,28.93612289,28.89694786,29.90692329,28.90047836,31.91737366,26.92886162,30.93901634,31.9047699,30.92010498,27.90898323,32.91728592,32.92537689,31.92492104,32.9318924,33.93858719,32.92422104,29.90816307,29.959692,31.96925354,28.86972809,26.91871834,28.94671059,29.91120338,27.9306221,27.92755318,27.93587494,30.92160225,31.90122414,27.92829895,27.9377861,29.93501663,29.94033432
159,19 h 20 min,29.91518402,29.94070053,27.88684845,29.89640617,27.87656784,30.89202118,26.91885376,30.91781616,32.90074539,29.90013123,28.91052818,31.89844894,32.89742661,31.92024422,33.9304657,32.92782593,32.90789413,28.89274406,29.94691086,30.94839478,28.87843323,26.89606094,28.94109917,30.89827728,28.94345093,27.91142654,27.92761612,30.91600418,29.91813278,27.92284584,28.94155884,30.93465805,29.9246273
160,19 h 30 min,28.94719887,28.95485497,28.91761208,29.93182945,28.91753387,30.92880249,25.93625641,29.93712234,30.90870285,29.92632484,26.89813614,30.92143822,32.9202652,30.92019844,31.92102432,31.89958763,29.91371155,28.86263084,28.91729736,29.96754074,26.86489105,25.90532875,27.94528389,29.92956734,26.92486954,26.92053223,25.93749619,28.90361404,29.89676857,26.92870522,26.92674637,28.91212654,28.90689278
161,19 h 40 min,26.91660309,26.94014931,26.89849281,27.93042374,24.88046074,29.91610527,22.9229908,28.9360714,30.89907837,28.91162491,25.91128349,29.92580605,32.92518616,29.93706512,30.94075012,32.92944336,30.9187851,28.88765144,27.94077682,28.96798706,26.87574768,24.92232895,25.93073845,27.91649055,25.93127823,24.91786003,24.93477249,27.9283123,28.9170723,25.93889046,25.93722916,27.92831802,27.95056725
162,19 h 50 min,28.92962265,28.93442535,28.89869118,29.92786407,28.89554214,31.91755867,26.91651535,30.92823219,32.9408493,30.91059303,27.91314697,32.94581985,32.93134689,31.93457031,31.93380356,33.93988419,31.92472649,30.89190483,29.95714188,30.94800758,28.93689919,26.90013885,28.94078255,29.93017197,27.92536545,27.91327286,27.92523766,30.93623734,30.90883446,27.9221077,27.92416763,29.92739105,31.92511368
